Order_id,O_lng,O_lat,S_lng,S_lat,L_lng,L_lat,D_lng,D_lat,Start_time,Arrive_store_time,Delivery_start_time,End_time
order_3,114.24571189797109,22.711943897971082,114.250377,22.716609,114.229346,22.698867,114.22908432456876,22.69531632456876,11:2:0,11:4:0,11:4:0,11:8:0
order_19,114.24647592974877,22.71270792974877,114.250377,22.716609,114.237519,22.697613,114.233941986389,22.700173986388997,11:7:0,11:8:0,11:8:0,11:12:0
order_17,114.25236483040771,22.718161830407713,114.250377,22.716609,114.270739,22.735647,114.27322728652341,22.739024286523406,11:40:0,11:40:0,11:40:0,11:45:0
order_8,114.25331111195037,22.71910811195037,114.250377,22.716609,114.237519,22.697613,114.23516195143546,22.700958951435453,11:46:0,11:47:0,11:47:0,11:51:0
order_29,114.01321119752018,22.658204197520178,114.016832,22.661825,114.041272,22.684732,114.03950815806957,22.68450115806957,11:8:0,11:9:0,11:9:0,11:15:0
order_7,114.0132965604914,22.65828956049141,114.016832,22.661825,114.003602,22.64748,114.0006163891335,22.645609389133497,11:9:0,11:10:0,11:10:0,11:14:0
order_23,114.01318110823837,22.658174108238377,114.016832,22.661825,114.003602,22.64748,114.00307098425178,22.648063984251788,11:8:0,11:9:0,11:11:0,11:15:0
order_20,114.0215427208657,22.66653572086571,114.016832,22.661825,114.000758,22.640638,113.99856616105814,22.643559161058146,11:11:0,11:13:0,11:13:0,11:17:0
order_24,114.01412211162544,22.659115111625454,114.016832,22.661825,114.003602,22.64748,114.00297699001096,22.64796999001097,11:14:0,11:15:0,11:15:0,11:18:0
order_6,113.93623278953623,22.514603789536242,113.938408,22.516779,113.911994,22.490105,113.91251918985974,22.490890189859734,11:18:0,11:18:0,11:18:0,11:25:0
order_10,113.93699421938157,22.515365219381575,113.938408,22.516779,113.916008,22.496813,113.91578751010522,22.494158510105226,11:22:0,11:22:0,11:22:0,11:27:0
order_25,114.04703581541251,22.63979381541251,114.048069,22.640827,114.030855,22.620583,114.03153804660016,22.62429604660016,11:25:0,11:25:0,11:25:0,11:30:0
order_9,114.04731104128739,22.640069041287383,114.048069,22.640827,114.030855,22.620583,114.03126082905422,22.624018829054222,11:27:0,11:27:0,11:27:0,11:32:0
order_21,114.04758871443076,22.640346714430766,114.048069,22.640827,114.030855,22.620583,114.02895549341241,22.621713493412415,11:28:0,11:28:0,11:28:0,11:33:0
order_5,114.04770946343653,22.640467463436543,114.048069,22.640827,114.062244,22.658223,114.0632923356211,22.656050335621103,11:29:0,11:29:0,11:29:0,11:33:0
order_18,114.02841722113492,22.52901422113492,114.027947,22.528544,114.04205,22.540168,114.04167841107714,22.54227541107715,11:35:0,11:35:0,11:35:0,11:38:0
order_13,114.03243855367909,22.533035553679085,114.027947,22.528544,114.05157,22.547694,114.05028156668406,22.55087856668406,12:0:0,12:2:0,12:2:0,12:7:0
order_11,114.25506991798802,22.72130191798802,114.250974,22.716771,114.229346,22.698867,114.23060765189351,22.696839651893505,11:0:0,11:1:0,11:1:0,11:6:0
order_4,114.25532660770358,22.721558607703578,114.250974,22.716771,114.27463,22.740268,114.27524346365004,22.741475463650037,11:2:0,11:4:0,11:4:0,11:10:0
order_15,114.2457334435998,22.711965443599794,114.250974,22.716771,114.27463,22.740268,114.27341284853088,22.739644848530887,11:2:0,11:4:0,11:5:0,11:11:0
order_27,114.2522291083888,22.718026108388813,114.250974,22.716771,114.270739,22.735647,114.27105573422097,22.73685273422096,11:40:0,11:40:0,11:40:0,11:45:0
order_0,114.25245897219979,22.718255972199792,114.250974,22.716771,114.27463,22.740268,114.27473355519662,22.740530555196624,11:41:0,11:41:0,11:41:0,11:47:0
order_2,114.25257860404801,22.718375604048017,114.250974,22.716771,114.27463,22.740268,114.27664766476823,22.742444664768236,11:42:0,11:42:0,11:42:0,11:48:0
order_16,114.25574454816929,22.72154154816929,114.250974,22.716771,114.229346,22.698867,114.22929471978588,22.69509171978589,11:42:0,11:44:0,11:44:0,11:49:0
order_14,114.2531636926647,22.718960692664705,114.250974,22.716771,114.27463,22.740268,114.27706108023395,22.742858080233944,11:46:0,11:46:0,11:46:0,11:52:0
order_22,114.25332127997726,22.719118279977252,114.250974,22.716771,114.27463,22.740268,114.2736609904184,22.73945799041841,11:47:0,11:48:0,11:48:0,11:54:0
order_26,113.84991702279866,22.77026802279868,113.847349,22.7677,113.868998,22.786286,113.86984417430142,22.79019517430143,11:48:0,11:49:0,11:49:0,11:54:0
order_1,113.85058707241963,22.770938072419643,113.847349,22.7677,113.864892,22.781068,113.86390122230168,22.784252222301685,11:52:0,11:53:0,11:53:0,11:57:0
order_28,113.85076079739801,22.77111179739801,113.847349,22.7677,113.824931,22.746445,113.82236370091499,22.742714700915,11:53:0,11:54:0,11:54:0,12:0:0
order_12,113.85086541131669,22.7712164113167,113.847349,22.7677,113.824931,22.746445,113.82853413509164,22.748885135091655,11:54:0,11:55:0,11:55:0,12:1:0
